authorID,author_firstname,author_lastname,email,address,city,state,zip
1,Harrie,Yanuk,hyanuk0@wordpress.org,17037 Farmco Trail,London,UK,NW36SG
2,Mischa,Cranny,mcranny1@biglobe.ne.jp,6 Roth Way,Paris,France,75007
3,Garald,Yeatman,gyeatman2@shutterfly.com,470 Carey Court,Berlin,Germany,10627
4,Danita,Caswell,dcaswell3@naver.com,856 Hoffman Court,Madrid,Spain,52006
5,Wilmette,Mancell,wmancell4@wikipedia.org,757 Sunbrook Alley,Rome,Italy,00118
6,Randy,Alldred,ralldred5@unesco.org,2 Ridge Oak Crossing,Amsterdam,Netherlands,5037AB
7,Iorgos,Tomaschke,itomaschke6@guardian.co.uk,7352 Jana Circle,Vienna,Austria,5023
8,Dix,Sibly,dsibly7@alexa.com,7 Cottonwood Road,Stockholm,Sweden,11351
9,Kerk,Rean,krean8@people.com.cn,1 Mendota Road,Prague,Czech,12000
10,Dona,Linsey,dlinsey9@xrea.com,00562 Carberry Place,Athens,Greece,20300
